Name,Team,POS,ADP,IP,mW,mSV,mERA,mSO,mHLD,PTS,aPOS,Dollars,PlayerId
Spencer Strider,ATL,SP,7.36999988555908,185,16.1926156156148,-4.62806214777061,21.9999446377178,18.6219560288943,-8.11139675094617,44.0750573835101,10.8687499966375,55.9438073801476,27498
Framber Valdez,HOU,SP,60.2900009155273,195,14.4058442373401,-4.62806214777061,9.59109013836894,11.1191278209232,-8.11139675094617,22.3766032979154,10.8687499966375,34.2453532945529,17295
Tarik Skubal,DET,SP,49.7999992370606,171,9.04553010251586,-4.62806214777061,13.1006583704799,11.1191278209232,-8.11139675094617,20.5258573952022,10.8687499966375,32.3946073918397,22267
Kevin Gausman,TOR,SP,26.9099998474121,196,12.6190728590653,-4.62806214777061,5.62389800702284,14.4254588956223,-8.11139675094617,19.9289708629937,10.8687499966375,31.7977208596312,14107
Jhoan Duran,MIN,RP,52.4000015258789,66,-3.4618695454073,12.6912730430008,18.2313693306733,-2.48769621726158,-5.71751944744023,19.255557163565,10.8687499966375,31.1243071602025,21029
Pablo Lopez,MIN,SP,35.1100006103516,196,12.6190728590653,-4.62806214777061,5.62389800702284,13.5352928370494,-8.11139675094617,19.0388048044209,10.8687499966375,30.9075548010584,17085
Edwin Diaz,NYM,RP,43.3699989318848,64,-3.4618695454073,17.0211068406937,13.7734504960418,-1.97902989807711,-6.9144580991932,18.4391997940579,10.8687499966375,30.3079497906954,14710
Andres Munoz,SEA,RP,91.6600036621094,64,-3.4618695454073,10.8356299868467,13.7734504960418,-3.2506956960383,-2.12670349218134,15.7698117492616,10.8687499966375,27.6385617458991,20373
Jose Alvarado,PHI,RP,178,74,-3.4618695454073,8.97998693069264,11.278438474552,-1.72469673848487,-0.929764840428371,14.1420942809241,10.8687499966375,26.0108442775616,17780
Pete Fairbanks,TBR,RP,90.4300003051758,66,-3.4618695454073,13.9283684137702,10.7959874722791,-2.6148627970577,-4.52058079568727,14.127042747897,10.8687499966375,25.9957927445345,17998
Mason Miller,OAK,RP,213.229995727539,68,-3.4618695454073,6.50579618915387,12.7754456874459,-2.10619647787323,0.267173811324596,13.9803496646438,10.8687499966375,25.8490996612813,31757
Zack Wheeler,PHI,SP,25.5699996948242,200,12.6190728590653,-4.62806214777061,2.14743257896216,11.7549607199038,-8.11139675094617,13.7820072592145,10.8687499966375,25.650757255852,10310
Tanner Scott,MIA,RP,99.6900024414063,66,-3.4618695454073,12.6912730430008,10.7959874722791,-3.12352911624218,-3.3236421439343,13.5782197096961,10.8687499966375,25.4469697063336,17586
Logan Webb,SFG,SP,61.3699989318848,204,12.6190728590653,-4.62806214777061,3.62788838983093,9.21162912398139,-8.11139675094617,12.7191314741609,10.8687499966375,24.5878814707984,17995
Max Fried,ATL,SP,62.9099998474121,185,14.4058442373401,-4.62806214777061,2.17225968199986,8.32146306540857,-8.11139675094617,12.1601080860317,10.8687499966375,24.0288580826692,13743
Ryan Helsley,STL,RP,93.6900024414063,65,-3.4618695454073,13.3098207283855,7.32779774523098,-3.2506956960383,-3.3236421439343,10.6014110882366,10.8687499966375,22.4701610848741,18138
Tyler Glasnow,LAD,SP,38.0299987792969,154,9.04553010251586,-4.62806214777061,3.71064539995662,10.3561283421465,-8.11139675094617,10.3728449459022,10.8687499966375,22.2415949425397,14374
Luis Castillo,SEA,SP,28.6900005340576,197,10.8323014807906,-4.62806214777061,-0.821754743787999,12.3907936188844,-8.11139675094617,9.6618814571702,10.8687499966375,21.5306314538077,15689
Emmanuel Clase,CLE,RP,51.3400001525879,66,-3.4618695454073,15.7840114699243,8.31752685281436,-5.41252755257233,-5.71751944744023,9.50962177731876,10.8687499966375,21.3783717739563,21032
Aroldis Chapman,,RP,344.140014648438,62,-3.4618695454073,-1.53532372084714,11.7939922808751,-2.36052963746546,5.05492841833646,9.49119779549162,10.8687499966375,21.3599477921291,10233
Gerrit Cole,NYY,SP,12.8299999237061,203,14.4058442373401,-4.62806214777061,-7.27568319561142,14.9341252148068,-8.11139675094617,9.32482735781864,10.8687499966375,21.1935773544561,13125
Devin Williams,MIL,RP,41.1399993896484,66,-3.4618695454073,13.3098207283855,8.31752685281436,-2.6148627970577,-6.9144580991932,8.63615713954165,10.8687499966375,20.5049071361791,15816
Bryan Abreu,HOU,RP,267.309997558594,67,-3.4618695454073,-3.39096677700122,6.82879534093301,-2.74202937685382,11.0396216771013,8.27355131877195,10.8687499966375,20.1423013154094,16609
Josh Hader,HOU,RP,46.1699981689453,63,-3.4618695454073,14.5469160991549,5.34833953006421,-2.74202937685382,-5.71751944744023,7.97383725951773,10.8687499966375,19.8425872561552,14212
Camilo Doval,SFG,RP,55.2599983215332,66,-5.24864092368204,17.0211068406937,5.83906623334962,-4.01369517481501,-5.71751944744023,7.88031752810598,10.8687499966375,19.7490675247435,21992
Blake Snell,,SP,64.4899978637695,176,10.8323014807906,-4.62806214777061,-4.25684166678586,14.0439591562339,-8.11139675094617,7.87996007152189,10.8687499966375,19.7487100681594,13543
Clay Holmes,NYY,RP,117.48999786377,66,-3.4618695454073,15.1654637845396,5.83906623334962,-5.28536097277621,-4.52058079568727,7.73671870401841,10.8687499966375,19.6054687006559,13649
Corbin Burnes,MIL,SP,24.3700008392334,200,10.8323014807906,-4.62806214777061,-5.28794927943208,14.0439591562339,-8.11139675094617,6.84885245887567,10.8687499966375,18.7176024555132,19361
Matt Brash,SEA,RP,252.770004272461,63,-5.24864092368204,0.320319335306937,10.3052607689937,-3.63219543542666,5.05492841833646,6.7996721635284,10.8687499966375,18.6684221601659,25756
George Kirby,SEA,SP,34.939998626709,194,10.8323014807906,-4.62806214777061,-1.31248144707341,9.59312886336976,-8.11139675094617,6.37348999837016,10.8687499966375,18.2422399950077,25436
Grayson Rodriguez,BAL,SP,93,166,9.04553010251586,-4.62806214777061,0.716630974168758,8.95729596438916,-8.11139675094617,5.979998142357,10.8687499966375,17.8487481389945,24492
Zach Eflin,TBR,SP,82.9700012207031,184,10.8323014807906,-4.62806214777061,-1.29593004504828,8.5757962250008,-8.11139675094617,5.37270876202633,10.8687499966375,17.2414587586638,13774
JoJo Romero,STL,RP,647.460021972656,64,-3.4618695454073,-2.77241909161653,6.3380686376476,-5.28536097277621,8.64574437359536,3.46416340144291,10.8687499966375,15.3329133980804,19574
Raisel Iglesias,ATL,RP,57.4900016784668,66,-3.4618695454073,14.5469160991549,0.882144994420125,-4.26802833440726,-4.52058079568727,3.17858241807318,10.8687499966375,15.0473324147107,17130
Kodai Senga,NYM,SP,66.0899963378906,187,10.8323014807906,-4.62806214777061,-8.24058520015711,13.2809596774573,-8.11139675094617,3.13321705937392,10.8687499966375,15.0019670560114,31838
DL Hall,BAL,RP,429.459991455078,62,-5.24864092368204,-3.39096677700122,9.31553166141032,-3.8865285950189,6.25186707008942,3.04126243579759,10.8687499966375,14.9100124324351,22207
Evan Phillips,LAD,RP,103.400001525879,66,-3.4618695454073,14.5469160991549,-1.59631562504462,-4.39519491420338,-2.12670349218134,2.96683252231825,10.8687499966375,14.8355825189557,17734
David Bednar,PIT,RP,60.7999992370606,68,-3.4618695454073,14.5469160991549,0.383142590122154,-4.14086175461113,-4.52058079568727,2.80674659357133,10.8687499966375,14.6754965902088,19569
Joe Kelly,LAD,RP,725.460021972656,62,-3.4618695454073,-4.00951446238591,6.83707104194558,-4.01369517481501,7.4488057218424,2.80079758117973,10.8687499966375,14.6695475778172,9761
Freddy Peralta,MIL,SP,52.7999992370606,165,9.04553010251586,-4.62806214777061,-5.2300193723441,10.9919612411271,-8.11139675094617,2.06801307258205,10.8687499966375,13.9367630692195,18679
Jesus Luzardo,MIA,SP,79.4300003051758,181,9.04553010251586,-4.62806214777061,-6.74357798726318,12.1364604592921,-8.11139675094617,1.69895367582804,10.8687499966375,13.5677036724655,19959
Zac Gallen,ARI,SP,38.939998626709,199,12.6190728590653,-4.62806214777061,-11.234599625945,12.009293879496,-8.11139675094617,0.654308213899606,10.8687499966375,12.5230582105371,19291
Justin Steele,CHC,SP,101.139999389648,181,9.04553010251586,-4.62806214777061,-4.26511736779844,8.06712990581632,-8.11139675094617,0.108083741816965,10.8687499966375,11.9768337384545,17312
Ryan Pressly,HOU,RP,83.9700012207031,66,-3.4618695454073,-2.77241909161653,3.36060561388487,-4.64952807379562,7.4488057218424,-0.0744053750921838,10.8687499966375,11.7943446215453,7005
A.J. Minter,ATL,RP,486,64,-3.4618695454073,-2.77241909161653,3.85960801818285,-4.14086175461113,6.25186707008942,-0.263675303362693,10.8687499966375,11.6050746932748,18655
